,Title,Date,Source
0,Market Data,2017-04-12,BBC News
1,Fire and water forged the unique biology of the Galápagos,2017-04-11,BBC News
2,The army that conquered the world,2017-04-11,BBC News
3,How to spot a lying job candidate,2017-04-11,BBC News
4,The urinal that changed how we think,2017-04-10,BBC News
5,The world's most dangerous city?,2017-03-31,BBC News
6,The blue whale is not the only animal with a huge appetite,2017-04-10,BBC News
7,The monster ships that changed how we travel,2017-04-11,BBC News
8,The Victorian view of same-sex desire,2017-04-05,BBC News
9,The cake French people cook on a spit,2017-04-07,BBC News
10,The intoxicating drug of an Indian god,2017-03-07,BBC News
11,Where there are islands in the sky,2017-03-09,BBC News
12,The Italian city that stood up to Rome,2017-03-03,BBC News
13,An underground boat to Islamic glory,2017-03-07,BBC News
14,The world's first Christian country?,2017-03-30,BBC News
15,An abandoned fortress beneath Russia,2017-04-06,BBC News
16,The man saved by a tin of fish,2017-03-28,BBC News
17,The men who shoe fleas,2017-03-31,BBC News
18,The mysterious origins of the piñata,2017-03-31,BBC News
19,"In 1674, a mysterious storm devastated an entire city",2017-04-07,BBC News
20,"As you might imagine, scorpion sex is a careful business",2017-04-07,BBC News
21,Bison had survived for 2 million years until humans arrived,2017-04-06,BBC News
22,Baby ants have a host of unexpected superpowers,2017-04-05,BBC News
23,The physics that tells us what the Universe is made of,2017-04-04,BBC News
24,BBC Earth is nominated for three Webby Awards,2017-04-05,BBC News
25,America's pronghorns are survivors of a mass extinction,2017-04-03,BBC News
26,It's not just human toddlers that are fussy eaters,2017-03-31,BBC News
27,"When baby spiders leave the nest, they take to the air",2017-03-31,BBC News
28,When overbooking a flight goes horribly wrong,2017-04-10,USA Today
29,How did Pepsi's ad even get off the drawing board?,2017-04-06,USA Today
30,Stockholm truck attack kills 4; police make arrest,2017-04-07,USA Today
31,4 things in your basement that are worth thousands,2017-04-10,USA Today
32,Jeep reveals its 707-horsepower SUV,2017-04-09,USA Today
33,This is the highest-paying company in America,2017-04-12,USA Today
34,Who's losing the Internet (and plenty of customers): United Airlines,2017-04-11,USA Today
35,"As tensions rise, USS Carl Vinson heads to Korean Peninsula",2017-04-09,USA Today
36,"Win a 4-pack of tickets to the Nationals vs. Orioles + a pregame event with snacks, beverages and a Q & A with Nationals management on May 11 at Nationals Stadium.",2017-04-03,Washington Post
37,"Comments on: Win a 4-pack of tickets to the Nationals vs. Orioles + a pregame event with snacks, beverages and a Q & A with Nationals management on May 11 at Nationals Stadium.",2017-04-03,Washington Post
38,"Americans are using alpacas to dodge taxes, a U.S. senator warns",2017-04-12,Washington Post
39,"On the final day of the NBA regular season, these playoff scenarios remain up in the air",2017-04-12,Washington Post
40,"Trump changes course again, says health-care repeal must happen before tax overhaul",2017-04-12,Washington Post
41,FBI obtained FISA warrant to monitor Trump adviser Carter Page,2017-04-11,Washington Post
42,Tillerson meets with Putin amid deepening tensions over U.S. missile strikes in Syria,2017-04-12,Washington Post
43,"In explaining his reasons for the Syria strike, Trump focuses on Obama",2017-04-12,Washington Post
44,Trump just made some very strange comments about Stephen Bannon,2017-04-11,Washington Post
45,Is Stephen Bannon getting pushed out? The latest signs point to Yes.,2017-04-12,Washington Post
46,Crucified man had prior run-in with authorities,2017-04-12,Washington Post
47,Our economy is a hellscape for consumers. The United flier is the latest victim.,2017-04-12,Washington Post
48,White House tells agencies to come up with a plan to shrink their workforces,2017-04-11,Washington Post
49,United CEO orders review of policies after passenger was dragged screaming from plane,2017-04-11,Washington Post
50,Hitler refused to use sarin during WWII. The mystery is why.,2017-04-11,Washington Post
51,Why China and Canada are playing economic footsie,2017-04-12,Washington Post
52,See what 20 years did to the impoverished residents of Pigeon Hill,2017-04-10,Washington Post
53,Inside the storied Grey Gardens estate,2017-04-07,Washington Post
54,Sessions tells prosecutors to bring more cases against those entering U.S. illegally,2017-04-11,Washington Post
55,"Amid Russia tensions, Paul Ryan will lead bipartisan delegation to NATO allies",2017-04-12,Washington Post
56,"With both the U.S. and North Korea saber rattling, is conflict imminent?",2017-04-11,Washington Post
57,How the Russian Embassy in London uses Twitter to undermine the West,2017-04-12,Washington Post
58,Why did Scott Pruitt refuse to ban a chemical that the EPA itself said is dangerous?,2017-04-12,Washington Post
59,"For Trump, alleged use of sarin in Syria prompted a different reaction than other chemical weapons",2017-04-12,Washington Post
60,I was wrong about Jeff Sessions,2017-04-12,Washington Post
