,Trend,Date
0,Aaron Hernandez,2017-04-15
1,Aaron Hernandez,2017-04-16
2,Aaron Hernandez,2017-04-19
3,acquitted,2017-04-19
4,Alex Jones,2017-04-18
5,Allan Holdsworth,2017-04-17
6,Aly Raisman,2017-04-14
7,Amber Alert,2017-04-15
8,Anne Hathaway,2017-04-18
9,April the Giraffe,2017-04-15
10,April the Giraffe,2017-04-16
11,Audrey Berry,2017-04-18
12,Audrey Berry,2017-04-19
13,Becca Longo,2017-04-14
14,Bee Gees,2017-04-17
15,Bella Thorne,2017-04-19
16,Bellagio fire,2017-04-15
17,Bill O Reilly,2017-04-19
18,Bill Oreilly,2017-04-19
19,Black Ops 2,2017-04-12
20,Blackhawks,2017-04-14
21,Blackhawks,2017-04-18
22,Boston Marathon 2017,2017-04-17
23,Boston Marathon 2017,2017-04-18
24,Brendon Urie,2017-04-12
25,Bruins,2017-04-18
26,Caitlyn Jenner,2017-04-12
27,Cara Delevingne,2017-04-16
28,Carmelo Anthony,2017-04-18
29,Carter Page,2017-04-12
30,Cavs Vs Pacers,2017-04-18
31,Celtics,2017-04-16
32,Celtics,2017-04-19
33,Charlie Murphy,2017-04-13
34,Chicago Bulls,2017-04-13
35,Clay Adler,2017-04-12
36,Clippers,2017-04-19
37,Coachella,2017-04-15
38,Cubs,2017-04-12
39,Cubs Score,2017-04-12
40,Cubs Score,2017-04-14
41,Cubs World Series Ring,2017-04-13
42,Dan Rooney,2017-04-14
43,David Letterman,2017-04-13
44,Doctor Who,2017-04-16
45,Dodge Demon,2017-04-12
46,Don Cheadle,2017-04-19
47,Easter,2017-04-16
48,Easter,2017-04-17
49,Easter Bunny,2017-04-16
50,Easter Bunny,2017-04-17
51,Easter Egg Hunt 2017,2017-04-15
52,Easter Pictures,2017-04-17
53,Easter Sunday,2017-04-16
54,Edy Tavares,2017-04-12
55,Edy Tavares,2017-04-13
56,Eli Manning,2017-04-14
57,Emma Morano,2017-04-16
58,Eric Thames,2017-04-18
59,Eric Thames,2017-04-19
60,Espn Nba,2017-04-17
