,Trend,Date,Common Words,Common Pairs,Positive Score,Negative Score
0,cheese,04/12/2017,"[(u'cheese', 34), (u'grilled', 30), (u'happy', 14), (u'day', 9), (u'sandwich', 8), (u'get', 5), (u'celebrate', 4), (u'love', 4), (u'today', 4), (u'made', 4)]","[((u'grilled', u'cheese'), 27), ((u'cheese', u'sandwich'), 5), ((u'get', u'grilled'), 2), ((u'national', u'grilled'), 2), ((u'gooey', u'grilled'), 2), ((u'like', u'grilled'), 2), ((u'creates', u'perfect'), 2), ((u'perfect', u'gooey'), 2), ((u'made', u'grilled'), 2), ((u'chemistry', u'creates'), 2)]",0.56,0.19
1,election,04/12/2017,"[(u'today', 5), (u'us', 5), (u'one', 4), (u'take', 4), (u'focus', 3), (u'go', 3), (u'new', 3), (u'something', 3), (u'every', 3), (u'better', 3)]","[((u'ben', u'carson'), 2), ((u'holy', u'spirit'), 2), ((u'create', u'us'), 2), ((u'wednesday', u'easter'), 2), ((u'group', u'netflix'), 1), ((u'ruin', u'everything'), 1), ((u'also', u'getting'), 1), ((u'leaders', u'selfdevelopment'), 1), ((u'seasonal', u'affective'), 1), ((u'revenge', u'better'), 1)]",0.85,0.39
2,elevator,04/12/2017,"[(u'carson', 67), (u'ben', 67), (u'elevator', 53), (u'stuck', 36), (u'housing', 16), (u'gets', 13), (u'got', 9), (u'public', 9), (u'trapped', 9), (u'via', 8)]","[((u'ben', u'carson'), 66), ((u'stuck', u'elevator'), 30), ((u'gets', u'stuck'), 11), ((u'carson', u'gets'), 10), ((u'carson', u'got'), 9), ((u'public', u'housing'), 9), ((u'got', u'stuck'), 7), ((u'carson', u'stuck'), 7), ((u'affordable', u'housing'), 5), ((u'carson', u'elevator'), 5)]",0.33,0.47
3,intended,04/12/2017,"[(u'trump', 11), (u'press', 9), (u'team', 6), (u'china', 6), (u'america', 6), (u'war', 6), (u'nk', 6), (u'lies', 5), (u'say', 5), (u'news', 5)]","[((u'team', u'america'), 6), ((u'war', u'nk'), 6), ((u'china', u'team'), 6), ((u'america', u'war'), 6), ((u'fake', u'news'), 3), ((u'holy', u'spirit'), 3), ((u'yadda', u'yadda'), 2), ((u'ask', u'keep'), 2), ((u'get', u'answer'), 2), ((u'keep', u'asking'), 2)]",0.45,0.69
4,fact,04/12/2017,"[(u'place', 11), (u'people', 8), (u'like', 5), (u'go', 4), (u'kids', 4), (u'fake', 4), (u'sorry', 3), (u'school', 3), (u'never', 3), (u'high', 3)]","[((u'place', u'people'), 3), ((u'high', u'school'), 3), ((u'6', u'billion'), 2), ((u'like', u'kids'), 2), ((u'nearly', u'6'), 2), ((u'thats', u'works'), 2), ((u'act', u'like'), 2), ((u'year', u'olds'), 2), ((u'real', u'life'), 2), ((u'1', u'side'), 2)]",0.48,0.49
5,face,04/12/2017,"[(u'tiny', 61), (u'ti', 13), (u'really', 6), (u'dont', 5), (u'im', 5), (u'video', 4), (u'one', 4), (u'like', 4), (u'nude', 4), (u'us', 4)]","[((u'tiny', u'video'), 3), ((u'ti', u'tiny'), 3), ((u'tiny', u'homes'), 2), ((u'nude', u'tiny'), 2), ((u'golf', u'swing'), 2), ((u'homes', u'developer'), 2), ((u'social', u'media'), 2), ((u'tiny', u'bean'), 2), ((u'know', u'tiny'), 2), ((u'tiny', u'queen'), 1)]",0.61,1.31
6,brownbookworms,04/12/2017,"[(u'cover', 37), (u'gorgeous', 11), (u'book', 11), (u'black', 8), (u'read', 8), (u'belles', 8), (u'reveal', 6), (u'wait', 6), (u'girl', 6), (u'cant', 5)]","[((u'belles', u'belles'), 7), ((u'cover', u'gorgeous'), 6), ((u'black', u'girl'), 5), ((u'cant', u'wait'), 4), ((u'cover', u'reveal'), 4), ((u'black', u'woman'), 3), ((u'girl', u'cover'), 3), ((u'look', u'cover'), 3), ((u'exclusive', u'except'), 2), ((u'read', u'exclusive'), 2)]",0.84,0.17
7,rights,04/12/2017,"[(u'girl', 70), (u'fearless', 70), (u'bull', 47), (u'says', 29), (u'charging', 29), (u'rights', 27), (u'statue', 27), (u'wall', 18), (u'sculptor', 18), (u'artist', 17)]","[((u'fearless', u'girl'), 67), ((u'charging', u'bull'), 28), ((u'girl', u'statue'), 22), ((u'bull', u'sculptor'), 17), ((u'sculptor', u'says'), 16), ((u'says', u'nyc'), 14), ((u'violated', u'rights'), 14), ((u'wall', u'street'), 13), ((u'rights', u'fearless'), 12), ((u'street', u'bull'), 11)]",2.17,0.32
8,sending,04/12/2017,"[(u'beverly', 69), (u'cleary', 58), (u'birthday', 44), (u'happy', 36), (u'101st', 26), (u'today', 12), (u'books', 10), (u'101', 9), (u'ramona', 6), (u'book', 5)]","[((u'beverly', u'cleary'), 57), ((u'101st', u'birthday'), 26), ((u'birthday', u'beverly'), 25), ((u'happy', u'101st'), 20), ((u'happy', u'birthday'), 13), ((u'beverly', u'clearys'), 5), ((u'author', u'beverly'), 4), ((u'101', u'today'), 4), ((u'totally', u'got'), 3), ((u'got', u'childhood'), 3)]",1.11,0.09
9,logo,04/12/2017,"[(u'chief', 66), (u'wahoo', 63), (u'indians', 42), (u'logo', 30), (u'mlb', 19), (u'away', 16), (u'talks', 12), (u'cleveland', 11), (u'change', 11), (u'manfred', 10)]","[((u'chief', u'wahoo'), 62), ((u'wahoo', u'logo'), 18), ((u'away', u'chief'), 16), ((u'indians', u'talks'), 10), ((u'rob', u'manfred'), 9), ((u'talks', u'transitioning'), 8), ((u'transitioning', u'away'), 8), ((u'forced', u'change'), 8), ((u'change', u'controversial'), 8), ((u'controversial', u'logo'), 8)]",0.36,0.45
